Date,MK,SS,DS,SSW,FBC,HP,ZY,DLS,SJK,HS,BJ,HJ,SZ,NH,HM,MA,RQ,SD,SSJ,BSW,ZD,LS,SSK,NS,GZ,CW,GC,GY,SJ,CW
1965/1/1,0.045817588,0.062116639,0.020041592,0.019069285,0.018496557,0.017003251,0.02819408,0.015186469,0.001222177,0.023317378,0.010961568,0.006253536,-0.000913286,0.016721372,0.012247753,0.033960491,0.003132706,0.022422217,0.00671961,0.007472332,0.014717878,0.022423824,0.018786546,0.026038871,0.036385162,0.011777464,0.024501481,15.46319871,19.01257436,0.003829442
1965/2/1,0.026098887,0.033341042,0.017927724,0.027003118,0.013156249,0.01898756,0.020489833,0.006568038,0.01505417,0.011423579,0.0062865,0.007543854,-0.002111644,-0.002587128,0.009969504,0.026800295,-0.006056676,0.002774771,-0.001604568,-0.005240371,-0.006674314,0.010306451,0.017846071,0.018052461,0.017821593,0.025502145,0.011415061,49.48202748,79.55914558,-0.007743467
1965/3/1,0.022200833,0.040122093,-0.030719609,-0.01868673,-0.035018161,-0.028083383,-0.017777033,-0.025873328,-0.014964835,-0.017188533,-0.040880553,-0.050172826,-0.01393593,-0.016398372,-0.034075783,0.011051331,-0.038785631,-0.019369391,-0.042256504,-0.037298383,-0.028890918,-0.025667011,-0.031562683,-0.024375136,0.008962457,-0.030817999,-0.023388244,199.4536482,13.4777593,-0.037122726
1965/4/1,1.23610797,-0.043220505,0.014311194,0.03194338,0.020428743,0.03867134,0.266060707,0.05346908,0.025423545,0.032946084,0.100257756,0.054267137,0.028977929,0.617459034,0.050042684,0.369832295,0.317041624,0.400835486,0.116693518,0.125972843,0.126043337,0.496793075,0.041098861,0.033278196,0.739246148,0.03738901,0.03597914,4059.258741,138.3659833,0.015879042
1965/5/1,-0.029255513,-0.141682509,0.028658874,0.024444678,0.01842397,0.01670997,0.013378732,0.012127226,0.01196009,0.02254557,0.016152128,0.008336053,0.004651443,-0.026410642,0.014310073,0.022571064,-0.009568448,-0.037477517,-0.012988985,-0.001876856,-0.076555956,-0.005315505,0.021269684,0.020276668,-0.023201822,0.005510189,0.01258712,-278.9444767,-132.2029837,0.015654549
1965/6/1,0.150959456,0.014193235,0.022196854,0.032526199,0.019712139,0.027815223,-0.018727931,0.033107794,0.028519482,-0.004697761,0.048042515,0.055871272,0.014745167,0.066628094,0.030252972,-0.023871467,0.057880045,0.046284003,0.03772026,0.023024505,0.009720659,0.079765969,0.037352925,0.041637304,0.021502057,0.025880453,0.031285993,-185.9265472,-2005.179497,0.013060818
1965/7/1,-0.047730857,-0.026574414,0.021721091,0.033491421,-0.041755669,0.008691367,-0.00578183,-0.02294368,0.035576506,-0.010235032,-0.043010079,0.033302253,0.013756232,0.004369114,-0.026101787,0.00520305,0.006048257,0.005070371,0.002734358,0.006606103,0.005490413,0.007041527,0.014754597,0.00507795,0.005983775,0.201612926,0.054811172,-74.54429293,-226.1597211,0.013848793
1965/8/1,0.024886176,-0.003411309,-0.029682054,-0.018349476,-0.011404028,-0.018576743,0.016041766,0.00667923,-0.020352609,0.010264715,0.014236993,-0.023303527,-0.03621261,0.054066142,0.004686857,0.030709008,0.029524383,0.057135212,0.018910517,0.017296533,0.058873129,0.043554634,-0.027360481,-0.021418816,0.062734425,0.002874438,-0.018678343,154.6109172,-134.3645794,-0.004109871
1965/9/1,0.050380937,0.065630878,0.034346721,0.003573663,0.042039133,0.035360707,0.007441671,0.033092849,0.07914776,0.043487529,0.038806119,0.000111969,0.004222604,0.03371921,0.040758832,-3.50E-05,-0.02938355,0.010331332,-0.014232397,-0.010255784,0.01134139,-0.030690799,0.016499031,0.192269381,0.03976986,0.203728384,0.210834033,210.006568,-14.67833158,-0.019800523
1965/10/1,-0.010407372,-0.063966689,-0.183961172,-0.043216736,-0.072192904,-0.054563031,-0.029788463,-0.039686406,-0.027626356,-0.022298556,-0.016457955,-0.011506176,-0.01420279,-0.048789206,-0.037544181,-0.032449776,-0.049164647,-0.054819179,-0.064991627,-0.046098174,-0.047915641,-0.017947158,-0.062076577,-0.044062141,-0.043994063,-0.07213902,-0.022100041,533.5746716,25.25515713,0.010079186
1965/11/1,1.685936299,1.37607936,-0.005132963,-0.009864499,0.018825916,-0.005141024,0.201665021,0.018645617,0.010875511,0.062332729,0.04416379,0.009834463,-0.015070897,0.705750309,0.034825125,0.31014538,0.120361301,0.662651924,0.069271499,0.071915958,0.738281199,0.526119475,0.000219834,0.010704234,0.857884744,-0.023310315,0.000287441,6908.736016,-17.45891597,0.163489709
1965/12/1,-0.058973913,-0.062913717,-0.060156713,-0.044245913,-0.277466567,-0.036486573,-0.036929909,-0.039225458,-0.020270553,-0.035516621,-0.04434272,-0.052476048,-0.067223562,-0.068846476,-0.04787797,-0.043021512,-0.042373298,-0.044011726,-0.02754663,-0.024857489,-0.035582079,-0.028629691,-0.047441804,-0.044193683,-0.061517854,-0.039849719,-0.02804993,-102.5780899,-174.4564878,-0.003113836
1966/1/1,0.009964848,0.046022639,-0.034228592,-0.028317052,-0.036985149,-0.028629056,-0.026153187,-0.030147487,-0.020836241,-0.018894113,-0.035126567,-0.04445207,-0.177561808,-0.004085217,-0.037922636,-0.014648595,-0.018708535,-0.004979997,-0.035666691,-0.024695424,0.038812497,-0.012243586,-0.026533719,-0.032557029,-0.015922316,-0.035742057,-0.021965838,92.54732161,-4.748501927,-0.026378808
1966/2/1,0.033052119,0.077351161,-0.033923264,-0.022022789,-0.031072245,-0.02315041,-0.01982444,-0.024777486,-0.028867922,-0.020586435,-0.026147235,-0.033975978,-0.039783873,0.001479698,-0.023851533,-0.006685352,-0.00955955,0.007852343,-0.030675308,-0.017380076,0.021537854,-0.018626295,-0.024578534,-0.026119336,0.0025557,-0.021353875,-0.028392055,277.0910723,15.2578951,-0.011313077
1966/3/1,0.039580228,0.089088412,-0.011561059,-0.007709071,-0.005822959,-0.007961499,-0.007901101,-0.018268282,-0.008576838,-0.006744953,-0.015764305,-0.02266931,-0.027543832,0.008614097,-0.019445486,-0.005588653,-0.006390413,0.01962685,-0.017318699,-0.010414418,0.028685995,-0.003757194,-0.005289573,-0.012595393,0.009173335,-0.011305295,-0.010126469,145.6417697,71.64349611,-0.013708336
1966/4/1,0.062626649,0.05019793,0.014043107,0.030982415,0.035031827,0.023259686,0.036713975,0.032369253,0.041390371,0.033917504,0.039862501,0.029721921,0.017621234,0.042427982,0.03251352,0.035616445,0.048457197,0.005024795,0.036201308,0.048525604,-0.01030681,0.051709506,0.023298011,0.027956152,0.038052367,0.030991593,0.038229049,229.76849,-67.56485572,-0.001438792
1966/5/1,-1.04341518,-1.052303871,0.023047136,0.028566598,0.001367715,0.023008423,-0.029394032,0.008054362,0.022727661,-0.002558389,0.017266971,0.029215333,0.02566773,0.002096298,0.011876243,-0.030087896,-0.029309946,0.004179113,-0.033623386,-0.013432501,-0.580793827,-0.411006878,0.027044385,0.020895561,-0.624794104,0.035870636,0.023710073,-4369.29251,-1238.935678,0.008373729
1966/6/1,-0.286331968,-0.202653029,0.031233611,0.03160749,0.063368045,0.055137112,-0.000254614,-0.001957849,0.00369075,0.010681083,0.025122453,0.024396078,-0.005645985,-0.018795854,0.015184289,0.017988944,0.016438097,-0.047623491,-0.004876334,0.013677084,-0.054104984,-0.001320413,0.019918271,0.007111045,0.010231311,0.00438663,0.00308584,529.7211156,145.3843405,-0.004294561
1966/7/1,-0.019030301,0.061121011,0.007391003,0.011380156,0.010110768,0.011695565,0.028060057,0.011995882,0.007795068,0.011554812,0.01192302,0.006879858,0.01425992,0.048830036,0.008800318,0.02749725,0.039656541,0.619711308,0.027624674,0.031392207,0.720381187,0.510354733,0.00197887,0.008031386,0.050298484,0.00648291,0.015743403,-140.0477177,53.88639744,0.004437663
1966/8/1,-1.851887808,-1.300433109,-0.038793813,-0.014152267,-0.013872684,-0.034432152,-0.01011264,-0.001673739,-0.013166954,-0.014204212,-0.005971066,-0.0078227,0.021991866,-0.860116995,-0.004612241,-0.020684918,-0.015568755,-0.023047303,-0.016692253,-0.010832596,-0.892424781,-0.033738072,-0.030236535,-0.014149814,-1.034572181,0.023522861,0.007173126,-292.2975951,-97.73475806,-0.021454659
1966/9/1,-0.013583095,-0.000226165,-0.009976387,-0.007165971,-0.062577947,-0.019006431,-0.021425021,-0.05013966,-0.005857517,-0.080105117,-0.038947792,0.000992768,0.013325911,0.000554764,-0.053952847,-0.023443537,-0.022865479,-0.036452644,-0.024948369,-0.021330031,-0.034269515,-0.025886293,-0.022522782,-0.026932785,-0.002130884,0.013647323,0.003470168,-303.5351704,-160.2106065,-0.009140777
1966/10/1,-0.175089227,-0.147293131,-0.036108663,-0.019496868,-0.044147373,-0.029453326,-0.054322261,-0.030973879,-0.034016248,-0.047960482,-0.020666286,-0.029616177,0.010273033,-0.105160738,-0.029080252,-0.06361278,-0.077888399,-0.091309107,-0.081426392,-0.067060311,-0.111089954,-0.115445,-0.025861263,-0.030992979,-0.140059857,0.00290391,-0.022387071,-806.0901238,-55.27039964,0.021522533
1966/11/1,0.024917317,0.031895644,-0.010191602,-0.009471407,-0.006296704,0.001451827,0.000615952,-0.004685414,-0.002711873,0.00037267,-0.004105345,-0.009229069,-0.001744831,0.011667854,-0.002535519,0.000774557,-0.005804405,0.001909047,-0.007712676,-0.003577833,-0.001566857,-0.019134933,-0.002631127,0.003389384,0.002500112,-0.009297465,-0.001443903,-172.9558088,-17.99362943,0.022342946
1966/12/1,0.034531539,0.06778663,0.030647787,0.026959203,0.053946759,0.036139299,0.036402906,0.029845524,0.032629661,0.038376153,0.036698707,0.040262672,0.013129917,0.038992442,0.025534429,0.041206288,0.035949246,0.041987487,0.026729864,0.034042773,0.037478623,0.020038079,0.040675034,0.032567491,0.020444631,0.033687992,0.034513824,-146.4392303,46.62465732,-0.013725106
1967/1/1,0.000613418,0.03437922,-0.003417888,-0.010243416,-0.008839402,-0.00586333,-0.005572513,-0.015763497,-0.005483119,-0.007614569,-0.004763688,-0.004114444,0.009163132,-0.009203658,-0.013175051,-0.001071861,-0.01017205,-0.008376242,-0.017139471,-0.010054898,-0.012611362,-0.023990278,-0.000928707,-0.009463002,-0.020193608,-0.014086293,-0.01295998,-52.76140065,23.59518809,-0.017989399
1967/2/1,0.090271146,0.112458772,-0.003056419,0.002515528,0.00912474,0.006549498,0.013553929,0.006320766,0.000192103,0.00599792,0.008050662,0.003677061,-0.000784723,0.041933808,-0.006276072,0.017812015,0.019066164,0.042161335,0.010746131,0.010123641,0.041503467,0.000832159,0.000179624,0.006880307,0.037934547,-0.010583631,0.001727349,164.7473033,120.1024516,0.003507172
1967/3/1,0.130856099,0.198856604,0.036612604,0.010342891,0.0430094,0.030031998,0.029705275,0.027060381,0.029562208,0.03401219,0.029095927,0.014356517,0.035886763,0.091360488,0.030831493,0.052379875,0.053915451,0.08810643,0.051648843,0.046063907,0.083513668,0.040731379,0.031863517,0.033521734,0.078370418,0.016765515,0.017488814,302.8299755,198.779968,0.020362596
1967/4/1,0.108785612,0.181493938,0.031906381,0.025406083,0.045885771,0.032594649,0.025576107,0.014874956,0.025107396,0.036225698,0.026565699,0.032439767,0.010687252,0.06464131,0.027209006,0.047944114,0.064527936,0.155627636,0.053099472,0.056546211,0.152791356,0.06672569,0.035715836,0.04561516,0.074370232,0.02054098,0.021397605,277.4132663,994.7522455,0.025819833
1967/5/1,-0.002095592,-0.005076635,0.00741356,-0.00437672,-0.000949499,-0.00838721,-0.045792897,-0.034763947,-0.019890717,-0.032462218,-0.032371828,-0.010268288,0.006766276,0.004389321,-0.035934637,-0.056084515,0.002892166,0.003549999,0.005271874,-0.05660629,0.005276149,0.00510286,-0.016009814,-0.016405812,0.005234003,-0.00300226,-0.017847835,-507.183906,107.5335465,0.00552703
1967/6/1,-0.15078177,-0.21814382,-0.017917575,-0.007080626,-0.029539215,-0.012363286,-0.013976918,-0.003918092,0.006006111,-0.007387049,0.001730134,0.024883679,0.018944271,-0.079216862,-0.008376972,-0.022587661,-0.034356887,-0.08150402,-0.031470563,-0.020093501,-0.075026227,0.005127717,0.000921563,0.007358864,-0.083710988,0.025752788,0.006296724,-287.6107691,-216.1814232,-0.011061311
1967/7/1,0.159919162,-0.023606553,3.95E-05,-0.00354,0.020840385,0.003522577,0.031901564,-0.000147667,-0.011943777,0.028294748,0.000242713,-0.011534317,-0.033375909,0.004322533,0.005279863,0.076691928,0.070337769,0.097087095,0.053329656,0.044940239,0.090897555,0.073053021,0.000383477,0.001228671,0.077441772,-0.0240384,-0.021354234,511.7101999,38.68209263,-0.023876656
1967/8/1,0.915556345,0.00750868,0.028830403,0.025610012,0.034407162,0.026001959,0.032496849,0.021506376,0.035737778,0.016291226,0.031963714,0.024733228,0.094541208,0.046767373,0.025719577,0.328259923,0.383475295,0.690094538,0.375812523,0.294347434,0.955101847,0.739560906,0.028156142,0.024853386,0.583695925,0.072623926,0.185581758,4215.676714,215.4990179,-0.009032988
1967/9/1,1.184740224,1.253443579,-0.012388263,-0.008284001,0.014073745,-0.009892544,0.036643805,0.022439207,0.015866602,0.005699297,-0.004179566,-0.012155907,-0.010150344,0.538015513,0.009903675,0.022306277,0.024735397,0.012169596,0.018432068,0.018230093,0.777157835,0.038363037,-0.006508379,-0.009214134,0.587154281,-0.007414583,0.004787644,1981.374479,300.7044688,-0.005723939
1967/10/1,-0.187567017,-0.172437525,0.001627695,0.000776186,0.03079984,-2.08E-06,0.025686929,0.026208726,0.022836325,0.022624537,0.038369162,0.016664282,0.025577693,-0.06903096,0.038257397,0.02191965,0.023761051,-0.030061691,0.028618879,0.027190243,-0.050030552,-0.011956405,0.008240423,0.004852118,-0.117779038,0.013948513,0.021782155,-879.5974714,8.722531716,0.024597948
1967/11/1,-0.128034456,-0.11606058,0.007671473,-0.001112764,-0.000281265,0.003542671,-0.026179975,-0.02164198,-0.013796165,-0.011617521,-0.013711716,-0.006699906,0.011291033,-0.072015632,0.000996057,-0.015249444,-0.018187988,-0.049228938,0.046613452,-0.018328443,-0.059072074,-0.044568801,0.011000079,0.002717292,-0.102993795,0.011246353,-0.003969788,-620.1210056,-84.21858385,0.022886837
1967/12/1,-0.07081868,-0.062861142,0.001723562,-0.019739025,-0.011265972,-0.014005573,-0.023763033,-0.019193309,-0.020466657,-0.025921275,-0.02218841,-0.014741283,0.009780238,-0.050625791,-0.012376219,-0.018494171,-0.025491977,-0.041277577,-0.020942671,-0.024768417,-0.045742408,-0.034702002,-0.007091721,-0.006638237,-0.059799713,-0.003464413,-0.023691107,-295.1078335,-96.20992465,-0.007004979
1968/1/1,0.002653123,-0.004857822,0.023682445,0.012804332,0.011267771,0.013536413,-0.006597478,0.005617312,0.006089086,-0.005928689,-0.011591349,0.004507818,0.014196566,-0.003384432,0.009456041,-0.025529818,-0.029073788,-0.049248418,-0.005350517,-0.019659982,-0.047295611,-0.021715516,0.020748066,0.01115921,0.000435251,0.013037368,0.015115643,-655.4017556,-80.03912505,-0.007799822
1968/2/1,0.002041466,0.008769101,0.020477221,0.026372538,0.023042447,0.017374992,0.031853571,0.028027282,0.006822145,0.009603765,0.027552523,0.040178149,0.046563147,-0.004230777,0.031625518,0.011484205,0.00534928,0.020500972,0.022306445,0.006655906,0.015729029,0.030128887,0.032383111,0.019108584,-0.015874844,0.027830428,0.00744987,-201.5001717,-50.3852156,-0.007530303
1968/3/1,0.096266079,0.111925468,-0.017848756,-0.023864659,-0.015652737,-0.025729866,0.015402967,-0.001879216,-0.018112813,-0.012648856,-0.02076463,-0.022404944,-0.014309214,0.024851843,-0.001759283,-0.006889352,-0.009023721,0.03840222,-0.002614581,-0.016531936,0.036922003,0.015822648,-0.016133567,-0.012953047,0.0206868,-0.01037267,-0.024809759,129.0738911,70.93395664,0.028960654
1968/4/1,-0.116442277,-0.149656579,-0.026045954,-0.034190225,-0.031521317,-0.034019496,-0.009550378,-0.006024081,-0.018031761,-0.028503823,-0.021432577,-0.011059539,0.005145131,-0.001457596,-0.015218722,-0.021128811,-0.008608625,-0.045187868,-0.013356968,-0.019294545,-0.064059652,-0.030723676,-0.01964388,-0.009568929,0.009759548,-0.011344594,-0.018228249,183.0149723,-69.22452719,0.034909898
1968/5/1,-0.060924826,-0.060133703,-0.313061794,-0.24372764,-0.514235694,-0.362511046,-0.676058717,-0.282094115,-0.24313008,-0.474323059,-0.375358677,-0.22308319,-0.074946725,-2.154661947,-0.318286379,-0.981207646,-1.112030154,-2.47499045,-1.001602382,-0.913496273,-2.69659518,-2.017111503,-0.278349933,-0.248274747,-2.497320793,-0.040638484,-0.22391672,-9839.992438,-3392.286,-0.021134877
1968/6/1,-0.148993772,-0.136602761,-0.000802025,-0.022804081,0.023814396,-0.013294822,0.011136124,-0.014217261,-0.065807167,-0.025782158,-0.010985102,-0.017394178,-0.026519586,-0.005879611,-0.009459087,0.026586121,0.054302213,0.004912208,0.056339065,0.019400706,0.003333572,0.025831569,-0.020367248,-0.017325644,-0.008027099,-0.023945524,-0.101457913,970.3457708,2200.057604,-0.007718361
1968/7/1,2.448979854,1.074319751,0.032358318,0.03163638,0.274455955,0.027178684,0.581083196,0.068943663,0.005739068,0.332117349,0.256972747,0.032719617,-0.014573327,2.967983507,0.432261707,0.930662914,1.794667139,4.896410138,1.555810069,1.283336809,5.249251548,4.325831736,0.02796702,0.037952859,1.921784216,-0.011751793,-0.001888951,22783.3486,59.70324463,0.000105267
1968/8/1,0.118145985,0.045805696,-0.008582848,-0.018984747,0.003959102,0.004990311,-0.003816135,-0.011798375,0.006781246,-0.007024956,-0.009512944,-0.025984202,-0.031832594,0.017976483,-0.011662272,0.006219719,0.02647887,0.08519719,0.024580048,0.00822091,0.092277855,0.066454856,-0.008505662,-0.013811276,0.015453676,-0.02236884,-0.014509468,594.3263857,101.5973702,-0.009948735
1968/9/1,0.056988039,0.082346373,0.000595699,0.00399576,-0.013014803,-0.007206028,0.008749409,0.006367071,-0.018249705,0.000653903,-0.0102501,0.021864672,0.017714453,0.030543983,0.002711671,0.017593484,0.020244928,0.041448884,0.013942385,0.013006943,0.039304428,0.033121689,0.008314934,0.009520311,0.037543729,0.022657773,-0.019961101,144.5475794,103.4402172,-0.006093227
1968/10/1,-0.291798386,-0.225245065,-0.031890002,-0.033500108,-0.051540608,-0.039541784,-0.043936471,-0.035846299,-0.036768938,-0.042326331,-0.061240672,-0.055951942,-0.041312681,-0.169708715,-0.034043933,-0.068170432,-0.085641049,-0.107936183,-0.052394929,-0.076496153,-0.119358666,-0.079421587,-0.037832484,-0.034843436,-0.202637644,-0.023329978,-0.02827338,-534.0929209,-194.7418089,0.012932781
1968/11/1,-0.021356637,0.002295264,-0.03565857,-0.040670735,-0.042393385,-0.032101103,-0.024070495,-0.023737742,-0.03477368,-0.033044901,-0.034752413,-0.031270598,-0.029991213,-0.041887463,-0.026966448,-0.034288649,-0.044473537,-0.030903935,-0.046612179,-0.048201953,-0.019183592,-0.034938463,-0.03401755,-0.025413233,-0.044949903,-0.020027183,-0.027975517,-27.55570674,-70.61476353,0.012375271
1968/12/1,0.999189285,0.020907522,-0.014159764,-0.014523263,-0.018108982,-0.01677037,-0.004896928,-0.000580485,-0.041132919,-0.015879806,-0.027678198,-0.019898911,-0.006268492,-0.022495354,-0.003891876,-0.015172686,-0.028737447,-0.011014062,-0.021781552,-0.017723936,-0.007413886,-0.004239422,-0.019043151,-0.002633695,0.078691099,-0.029580541,-0.012569564,-117.7692449,-36.95266203,0.006023212
1969/1/1,0.082782721,0.126056866,-0.025980069,-0.020851553,-0.020817195,-0.016759267,0.008936464,-0.014968735,-0.022536624,-0.012695649,-0.028221124,-0.031459529,-0.013824861,0.023956461,-0.013206131,-0.00403391,-0.0111485,0.031775796,-0.002024435,0.004750156,0.027560475,0.016943183,-0.020378365,-0.014693977,0.019614804,-0.024297692,-0.021305014,107.2051831,74.95802908,-0.018699387
1969/2/1,0.000236007,0.045937335,-0.015232008,-0.015875096,-0.013511982,-0.007489221,-0.004818331,-0.008384895,-0.004194211,-0.0148967,-0.017995909,-0.022345959,-0.02927912,-0.026766156,-0.013229996,-0.013687531,-0.024370635,0.005809582,-0.017222576,-0.010375009,-0.000779452,-0.004640384,-0.014637638,-0.018964627,-0.030117291,-0.035170362,-0.008183856,-266.8484097,70.77152311,-0.008323628
1969/3/1,0.118662817,0.139652087,0.006496639,0.009513755,0.012282299,0.012876664,0.026662908,0.022508724,-0.006319317,0.004162449,0.006996894,0.000257411,0.003557109,0.050825812,0.009104898,0.021656509,0.015322898,0.059629974,0.017098602,0.022165621,0.060592599,0.032399598,0.005486459,0.007085027,0.051698525,-0.001760521,0.008161148,94.93105426,-14.55250691,0.007962064
1969/4/1,0.051399784,0.071802429,0.005315655,0.003271107,0.011237224,0.002048241,0.013239587,0.016409062,0.003259506,0.005815829,0.001346548,0.001169603,0.011734597,0.021339796,0.010213039,0.012724139,0.006530155,0.025929015,0.009837108,0.016921001,0.035261671,0.011297808,0.000989444,-0.000840772,0.023588779,-0.007362567,0.012811915,91.93604813,72.75897757,0.029858654
1969/5/1,-0.043054406,-0.022637965,0.01548617,0.014777289,0.008176831,0.020679756,-0.028990903,-0.011605806,-0.033320041,0.016362413,0.010158762,0.009619624,0.00346886,-0.027551681,0.009641935,-0.033929163,-0.031512611,-0.025099379,0.004713081,-0.030293414,-0.027516155,-0.015309607,0.012820857,0.017212329,-0.035420498,0.011116873,0.01058449,-88.54051932,86.10558448,0.016103642
1969/6/1,0.000471243,0.019906252,-0.006750282,0.00253723,-0.00538528,-0.002962528,0.016651783,0.030090086,-0.004251519,-0.003094022,0.006796208,0.028100157,0.024674158,-0.041207137,0.011409663,-0.015412399,-0.034547684,-0.061487792,-0.033985665,-0.013343545,-0.042028271,-0.080338665,0.000955094,0.00343209,-0.050434226,0.014274477,0.012488616,-208.536417,92.19002817,-0.015368463
1969/7/1,0.00134006,-3.562795132,-0.014732397,0.000756452,-0.017636008,-0.024938627,-0.754717464,-0.03918197,-0.018452767,0.049594023,-0.02168795,0.018051091,0.149949162,-3.592268355,-0.015153242,-1.553024861,-0.545546166,-1.211918223,-1.469585737,-1.328061699,-1.234712333,-1.050385076,-0.018867841,-0.027830724,-3.487780003,0.038184264,0.015148137,-6089.005973,-50.41698612,-0.003055902
1969/8/1,0.138590693,0.006520667,0.012218941,0.004690947,0.019557634,0.006748008,0.03505548,0.000610999,0.011357119,0.01133975,-0.006428887,-0.023987046,-0.034013068,0.003354791,0.00129343,0.002604249,0.001845568,0.002170395,0.002441641,0.001638492,0.003513597,0.003385341,-0.006567867,-0.018517743,0.003961415,-0.017913163,-0.020700755,19.30417716,41.79903264,0.016406224
1969/9/1,-0.036150001,-0.108945279,-0.01857789,-0.004307664,-0.022228471,-0.01115055,-0.023742321,-0.011216631,0.004355705,-0.038684468,-0.007838728,-0.002102588,-0.008361139,-0.033503152,-0.016997323,-0.047699809,-0.063818871,-0.091033739,-0.038019904,-0.012573246,-0.104968633,-0.048660546,-0.011763541,-0.019432984,-0.017726502,-0.002957517,-0.018208489,-235.087396,23.883046,0.006547266
1969/10/1,-0.145228793,-0.153750932,-0.019986662,-0.035523231,-0.063319722,-0.063433718,-0.045083356,-0.030301197,-0.058684104,-0.063107363,-0.054157414,-0.046866955,-0.006836598,-0.088004105,-0.024057529,-0.067246309,-0.050022999,-0.094245346,-0.078196238,-0.061751239,-0.093563717,-0.076829377,-0.031150023,-0.018729462,-0.105348799,-0.012681446,-0.033914119,-633.4835044,-38.03246234,0.001341759
1969/11/1,0.072451643,0.065619416,-0.020572757,-0.0146829,-0.018586774,-0.009561634,0.01410707,0.013843634,-0.017291598,0.003335167,0.013382551,0.008229991,-0.010126912,0.018118896,0.004423338,-0.003599414,-0.010851808,0.007555089,-0.005415359,0.011349519,0.020137113,0.0230954,-0.014474548,-0.016875933,0.009866982,-0.021635384,0.004294971,323.0498652,-52.59724555,0.01041898
